COPE,DEPRESS,SAT
1.5,6,40
1,3.5,37.5
1.5,3,47.5
2.5,17,32.5
3,21,36
2.5,10,32.5
2.5,7.5,36.5
0.5,1.555,47
1.5,6.5,38.5
1.5,10.35,40.5
1,10.6,49
1.5,5.5,39.5
1,1.5,42.5
1.5,5.5,34
1.5,8,34.5
1,4,40
2.5,8.5,37.5
2,13,25
1.5,4.5,42.5
1,10.5,30.5
0.5,15.5,38.5
1,6,47
1.5,7.5,34.5
1,2.5,45.5
0.5,7.5,38
1,2.555,40.5
1.5,19.5,30
2,15.5,33
0.5,11,32
2,9.5,33.5
1.5,8,29
1,2.08,41
1.5,9,33.5
2,6.5,35
2,5.5,42.5
1.5,7.5,40
1.5,14.5,38.5
1,21,29.5
2.5,8.5,27
1.5,4.5,41
1.5,8,42.5
2.5,7.85,37.5
2.5,7,45
1,6.605,43.5
1.5,16.5,24.5
2.5,17.5,30
1.5,4.5,46
3,20,33.5
2,6.5,27
1,8,39
1.5,4,39.5
1,3.5,45
0.5,2,42
0.5,4.5,45.5
2,8.5,33.5
3,19,28.5
1,2.5,39.5
2.5,3,40
3.5,13.525,35.5
1.5,11.5,36
1,5.5,45.5
1.5,2.5,40.5
3,4.185,36
1.5,4.5,40
2,3.5,38
1.5,9.555,28.5
1.5,3.5,44.5
1.5,7.5,42
0.5,1.5,44.5
1.5,9,41.5
1,1,45.5
2.5,10,44
1.5,4.105,29.5
1,7,39.5
1,2,48
1.5,7,44.5
2,10.5,39
1,2.5,33.5
2,7.8,40
1.5,13,39.5
2,5.5,35
1,5,43.5
2,9,36
2.5,22.5,26.5
1.5,7,41.5
1.5,4.5,29.5
1.5,1.5,50
2,5,40.5
2.5,24,36.5
1.5,5.5,38
1.5,7,41
1.5,13,42
3,23.05,27
0.5,2.5,47.5
1.5,8,29.5
1.5,3.5,46
1,8.16,39.5
1.5,3,43.5
3,12.5,27
1.5,10.5,26.5
1,2,41
2,8,40.5
3,12,45
2.5,7.5,28
1.5,3,43
0.5,3.5,39
2.5,4.5,40
3,20,29
0.5,22,19
2,5.5,38
2,2,39
1.5,4.165,42
0.5,7,33
2,6.5,31
1.5,13,22.5
2.5,12,34.5
2,7.5,37.5
1.5,15,27.5
2,8.5,35
2,5.5,33
3,16,42
1,8.5,47
1,5,45
2,12,41
1,5.5,34.5
2,8,36
2.5,9.5,39
1.5,5,40.5
1.5,5.5,33.5
1,4.5,43.5
0.5,3,45.5
1,3,37
1.5,7.5,33.5
1.5,6.5,43.5
1.5,2,35.5
1.5,1.5,44.5
1.5,6,42.5
2,14,32
1.5,6.5,40.5
2,5.5,47
2.5,15.5,29.5
2.5,4,38.5
1,6.5,41.5
2,13.5,34.5
1,9,46
0.5,1.5,30
2,8,41.5
1,3.5,38
1,9.5,30
2.5,9.5,37.5
2,6,39.5
1,4,46.5
2,12.5,37
2.5,8.5,43
0.5,6.5,39
2.5,8,42.5
1.5,6,33
2.5,6,43
2,5,38.5
1.5,11,33
1.5,6.63,40.5
1.5,12,32.5
3,18.5,21.5
0.5,3,35
1.5,8.5,39.5
2.5,9,34.5
2,14,35
2,6.5,41.5
2,5.5,41.5
2.5,9,26
1.5,4,41.5
1,0.5,45.5
2,3.5,42
2,12,25.5
1.5,3.5,40.5
2,18,33.5
2,10,38
1.5,0.5,23.5
2.5,10,31.5
1.5,4.5,42
1.5,14.5,38.5
0.5,4,42.5
2,5,44.5
1,10.5,38.5
2,10.5,36.5
2,7,43
2.5,18.5,24
2,4.5,44.5
2.5,9.5,30.5
2.5,4,40.5
1,1.5,45.5
2.5,14.5,29.5
1.5,3,46.5
2,15.5,35
2,10,38.5
2,4.5,43
2.5,15,33.5
1.5,3.5,47
3,17.5,33.5
2,11,28.5
2.5,2,43.5
2.5,15.5,25.5
2,14,40.5
1.5,11.5,34
1.5,4,31.5
0.5,4,36.5
1.5,6.13,38.5
0.5,1,39
2,14,38.5
0.5,4.5,42.5
1.5,8.5,40.5
2,20.66,30
1,8.5,43
2,16.5,29.5
2.5,8.185,29
1,6,44
1,7,36
0,0.5,41.5
2,6,25.5
1.5,4,44.5
1,2.5,37.5
2,4,39.5
1,7.5,34
1.5,11.5,35
2,12,31
2.5,16.5,35
1,4.5,31.5
2,10,33.5
3,9.16,31
1,5,42.5
2,18,43.5
2.5,12,34.5
2,6,43
1,2,45
2,5,41.5
1.5,5.5,41
2,11,24
2.5,11.5,35
2,6.5,39
1.5,7,33.5
0.5,2.5,39
2.5,10.5,25
2,10.5,35.5
1,7,46.5
1.5,11,40
1.5,10,35.5
1.5,1,42.5
2.5,8.13,30.5
2,12.5,24.5
1.5,3,44.5
1,5,45
2,10,29.5
1,10.9,37
1.5,4,42.5
2,4,40
1.5,3.5,33.5
1.5,5,36
1.5,7,37
2,13.5,39
2,13,35
2,4.5,45
1.5,4.5,33.5
1.5,8,33.5
0.5,4,48
1,4.605,35
0.5,7,40.5
2,7,37.5
2,8.5,24.5
3,6.5,39
3,25.5,39.5
1.5,10.5,33
1.5,11.5,44.5
1.5,4.945,38.5
0.5,3,42
2.5,2.5,35.5
1.5,14.5,31.5
1,3.555,40.5
1,5.71,43.5
1,3.5,45
1,4,42.5
1,1,40
1,11,28.5
0.5,1,46
1.5,4.5,42
2.5,17.5,31
2,17,35
2,4.63,39.5
2.5,6.5,34
1.5,5,33
2,17.5,35.5
3,15.685,31
1.5,6,39
1,5,45
3.5,12.5,31.5
1.5,6.16,41.5
1,3.5,42
2,4,45
1.5,10.525,40.5
2,15,34.5
1.5,6.5,39.5
1,3.13,46
1,4,47
2,14,18.5
1.5,1.5,41.5
2.5,20.9,26
1,8,37
1,2.5,40.5
1.5,15.5,37.5
1.5,5.5,41
2,10,34.5
2,11,38.5
3,13,33
2.5,9,28.5
1,1.5,45
3,5,30.5
3.5,15.5,41
1,7.5,38
2,11,40.5
2.5,7.71,33
